sample	fa_id	query_len	species
Bracky_Blank.unc	45	704	Homo sapiens
Bracky_Blank.unc	46	559	Actinidia cylindrica var. cylindrica
Bracky_Blank.unc	47	1045	Columnosphaeria fagi
Bracky_Blank.unc	48	628	uncultured bacterium
Bracky_Blank.unc	49	1501	Pseudomonas synxantha
Bracky_Blank.unc	4	1001	Gateway vector R4pMpGWB456
Bracky_Blank.unc	50	648	Pseudomonas sp. NI3(2012)
Bracky_Blank.unc	51	585	Pseudomonas orientalis
Bracky_Blank.unc	52	546	Pseudomonas sp. GR 6-02
Bracky_Blank.unc	53	625	uncultured bacterium
Bracky_Blank.unc	54	556	Rhodococcus sp. (in: high G+C Gram-positive bacteria)
Bracky_Blank.unc	55	797	uncultured bacterium
Bracky_Blank.unc	56	483	Mycobacterium sp.
Bracky_Blank.unc	57	646	synthetic construct
Bracky_Blank.unc	58	511	Homo sapiens
Bracky_Blank.unc	59	628	Cladosporium allicinum
Bracky_Blank.unc	5	546	Cycas revoluta
Bracky_Blank.unc	60	474	Sphingomonas sp.
Bracky_Blank.unc	61	508	Homo sapiens
Bracky_Blank.unc	62	606	uncultured Methylobacteriaceae bacterium
Bracky_Blank.unc	63	752	Xenophilus aerolatus
Bracky_Blank.unc	64	1055	Capnobotryella sp. MA 4659
Bracky_Blank.unc	65	614	Pseudomonas lurida
Bracky_Blank.unc	66	576	uncultured fungus
Bracky_Blank.unc	67	705	Brucella pituitosa
Bracky_Blank.unc	68	638	Rhodococcus sp. (in: high G+C Gram-positive bacteria)
Bracky_Blank.unc	69	699	uncultured bacterium
Bracky_Blank.unc	6	588	Homo sapiens
Bracky_Blank.unc	70	1139	uncultured Gammaproteobacteria bacterium
Bracky_Blank.unc	71	576	Xanthomonas oryzae pv. oryzae
Bracky_Blank.unc	72	539	uncultured bacterium
Bracky_Blank.unc	73	577	Phaseoleae environmental sample
Bracky_Blank.unc	74	527	uncultured bacterium
Bracky_Blank.unc	75	780	uncultured bacterium
Bracky_Blank.unc	76	1121	uncultured bacterium
Bracky_Blank.unc	7	592	uncultured bacterium
Bracky_Blank.unc	8	667	Basidioascus magus
Bracky_Blank.unc	9	671	Lactococcus lactis subsp. lactis
Bracky_cells.unc	0	684	Spondias tuberosa
Bracky_cells.unc	10	547	uncultured Alphaproteobacteria bacterium
Bracky_cells.unc	11	530	uncultured bacterium
Bracky_cells.unc	12	727	eukaryotic synthetic construct
Bracky_cells.unc	13	499	uncultured bacterium
Bracky_cells.unc	14	843	uncultured bacterium
Bracky_cells.unc	15	1450	Streptomyces sp. NBC_01167
Bracky_cells.unc	16	633	Storckiella pancheri
Bracky_cells.unc	17	953	uncultured bacterium
Bracky_cells.unc	18	623	Sambucus mexicana
Bracky_cells.unc	19	1477	uncultured bacterium
Bracky_cells.unc	1	1134	Pistacia chinensis
Bracky_cells.unc	20	586	uncultured bacterium
Bracky_cells.unc	21	584	Streptomyces sp. NBC_00659
Bracky_cells.unc	22	650	Bradyrhizobium sp. SEMIA 839
Bracky_cells.unc	23	1330	Streptomyces sp. NBC_01268
Bracky_cells.unc	24	851	Phaseoleae environmental sample
Bracky_cells.unc	25	645	uncultured soil bacterium
Bracky_cells.unc	26	525	uncultured bacterium
Bracky_cells.unc	27	526	uncultured Hyphomicrobiales bacterium
Bracky_cells.unc	28	849	uncultured bacterium
Bracky_cells.unc	29	506	uncultured bacterium
Bracky_cells.unc	2	1502	Mesorhizobium jarvisii
Bracky_cells.unc	30	524	Caprifoliaceae environmental sample
Bracky_cells.unc	31	966	Mesorhizobium amorphae CCNWGS0123
Bracky_cells.unc	32	548	Homo sapiens
Bracky_cells.unc	33	768	Mycobacterium sp. B-009
Bracky_cells.unc	34	589	uncultured Actinomycetes bacterium
Bracky_cells.unc	35	764	uncultured bacterium
Bracky_cells.unc	36	500	Streptomyces melanogenes
Bracky_cells.unc	37	544	uncultured Hyphomicrobiaceae bacterium
Bracky_cells.unc	38	896	Mesorhizobium sp. WSM4906
Bracky_cells.unc	39	630	Bretschneidera sinensis
Bracky_cells.unc	3	708	uncultured bacterium
Bracky_cells.unc	40	1311	uncultured bacterium
Bracky_cells.unc	41	1444	Mesorhizobium sp. AR02
Bracky_cells.unc	42	598	Ainsliaea fragrans
Bracky_cells.unc	43	796	Metarhizium sp. QZW-2023a
Bracky_cells.unc	44	831	uncultured bacterium
Bracky_cells.unc	45	1166	Solanum lycopersicum
Bracky_cells.unc	46	498	uncultured bacterium
Bracky_cells.unc	47	531	uncultured bacterium
Bracky_cells.unc	48	492	Streptomyces sp.
Bracky_cells.unc	49	773	Nonomuraea sp. FXJ1.969
Bracky_cells.unc	4	545	uncultured bacterium
Bracky_cells.unc	50	599	uncultured Actinomycetes bacterium
Bracky_cells.unc	51	616	uncultured bacterium
Bracky_cells.unc	5	584	Phyllobacterium pellucidum
Bracky_cells.unc	6	760	uncultured archaeon
Bracky_cells.unc	7	645	Cicerbita auriculiformis
Bracky_cells.unc	8	503	uncultured bacterium
Bracky_cells.unc	9	671	eukaryotic synthetic construct
